NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
LET_7A_2_3P	287	260		
LET_7A_3P	723		Rejected!	
LET_7A_5P_LET_7C_5P_LET_7E_5P	401	388		
LET_7B_3P	721		Rejected!	
LET_7B_5P	403	390		
LET_7C_3P	577		Rejected!	
LET_7D_3P	9		Rejected!	
LET_7D_5P	353	339		
LET_7E_3P	5		Rejected!	
LET_7F_1_3P	721		Rejected!	
LET_7F_2_3P	402	380		
LET_7F_5P	403	390		
LET_7G_3P	287	260		
LET_7G_5P	403	390		
LET_7I_3P	5		Rejected!	
LET_7I_5P	404	391		
MIR100_3P	70	67		
MIR100_5P_MIR99A_5P_MIR99B_5P	18	18		
MIR101_2_5P	6		Rejected!	
MIR101_3P	459	440		
MIR101_5P	44	40		
MIR10226	78	73		
MIR10392_3P	6		Rejected!	
MIR10393_3P	109	93		
MIR10393_5P	147	142		
MIR10394_5P	178	171		
MIR10395_3P	142	138		
MIR10395_5P	74	66		
MIR10396A_3P_MIR10396B_3P	5		Rejected!	
MIR10396A_5P	9		Rejected!	
MIR10396B_5P	19	16		
MIR10397_3P	47	46		
MIR10397_5P	73	68		
MIR10398_3P	5		Rejected!	
MIR10398_5P	79	76		
MIR10399_3P	8		Rejected!	
MIR10399_5P	359	346		
MIR103A_1_5P	152	144		
MIR103A_2_5P	157	149		
MIR103A_3P_MIR107	253	245		
MIR103B	42	41		
MIR10400_3P_MIR4674	37	32		
MIR10401_3P	7		Rejected!	
MIR10401_5P	80	75		
MIR10522_5P	246	227		
MIR10523_5P	242	226		
MIR10524_5P	83	80		
MIR10525_3P	57	56		
MIR10526_3P	119	114		
MIR10527_5P	592		Rejected!	
MIR105_3P	5		Rejected!	
MIR105_5P	221	215		
MIR106A_3P	105	93		
MIR106A_5P	642		Rejected!	
MIR106B_5P	680		Rejected!	
MIR10A_3P	26	25		
MIR10A_5P_MIR10B_5P	103	96		
MIR10B_3P	82	77		
MIR11181_3P	209	188		
MIR11181_5P	72	71		
MIR11399	78	73		
MIR11400	8		Rejected!	
MIR11401	10		Rejected!	
MIR1178_3P	91	89		
MIR1178_5P	35	33		
MIR1179	124	117		
MIR1180_3P	6		Rejected!	
MIR1180_5P	38	38		
MIR1182	30	27		
MIR1183	126	121		
MIR1184	164	158		
MIR1185_1_3P_MIR1185_2_3P	409	387		
MIR1185_5P	59	59		
MIR1193	35	32		
MIR1197	91	87		
MIR1199_5P	80	76		
MIR1200	333	317		
MIR1202	75	70		
MIR1203	5		Rejected!	
MIR1204	6		Rejected!	
MIR1205	177	170		
MIR1206	117	110		
MIR1207_3P	131	129		
MIR1207_5P	331	312		
MIR1208	137	129		
MIR12113	98	89		
MIR12114	43	41		
MIR12115	71	66		
MIR12116	58	57		
MIR12117	94	88		
MIR12118	104	97		
MIR12119	185	179		
MIR12120	183	176		
MIR12121	27	26		
MIR12122	215	208		
MIR12123	502	461		
MIR12124	332	323		
MIR12125	108	105		
MIR12126	36	34		
MIR12127	79	78		
MIR12128	145	133		
MIR12129	141	133		
MIR12130	31	27		
MIR12131	175	165		
MIR12132	147	137		
MIR12133	388	368		
MIR12135	194	185		
MIR12136	1003		Rejected!	
MIR1224_3P	67	67		
MIR1224_5P	63	60		
MIR1225_3P	64	59		
MIR1225_5P	33	33		
MIR1226_3P	110	108		
MIR1226_5P	52	48		
MIR1227_3P	75	72		
MIR1227_5P	107	99		
MIR1228_3P	75	70		
MIR1229_3P	84	78		
MIR1229_5P	36	33		
MIR122B_3P	142	133		
MIR122B_5P	212	202		
MIR122_3P	8		Rejected!	
MIR122_5P	91	89		
MIR1231	52	47		
MIR1233_3P	79	77		
MIR1233_5P	104	96		
MIR1236_3P	197	188		
MIR1236_5P	81	69		
MIR1237_3P	134	123		
MIR1237_5P_MIR4488	17	15		
MIR1238_3P	32	31		
MIR1238_5P_MIR4758_5P	45	43		
MIR1243	63	55		
MIR1244	98	97		
MIR1245A	41	36		
MIR1245B_3P	144	137		
MIR1245B_5P	61	60		
MIR1246	56	50		
MIR1247_5P	5		Rejected!	
MIR1248	128	116		
MIR1249_5P	199	187		
MIR124_3P	746		Rejected!	
MIR124_5P	113	108		
MIR1250_3P	504	485		
MIR1250_5P	7		Rejected!	
MIR1251_3P	156	148		
MIR1251_5P	27	23		
MIR1252_3P	312	296		
MIR1252_5P	329	315		
MIR1253	170	156		
MIR1255A_MIR1255B_5P	69	67		
MIR1255B_2_3P	89	82		
MIR1256	73	72		
MIR1257	93	88		
MIR1258	61	58		
MIR125A_3P	77	72		
MIR125A_5P	322	306		
MIR125B_2_3P	135	127		
MIR125B_5P	320	304		
MIR1260A_MIR1260B	105	99		
MIR1261	87	82		
MIR1262	49	46		
MIR1263	53	51		
MIR1264	119	116		
MIR1265	45	41		
MIR1266_3P	55	53		
MIR1266_5P	96	92		
MIR1267	74	66		
MIR1268A_MIR1268B	7		Rejected!	
MIR1269A_MIR1269B	52	50		
MIR126_5P	465	434		
MIR1270	79	69		
MIR1271_3P	69	67		
MIR1271_5P	391	371		
MIR1272	86	80		
MIR1273C	7		Rejected!	
MIR1273H_3P	97	95		
MIR1273H_5P	202	188		
MIR1275	287	271		
MIR1276	179	166		
MIR1277_3P	14		Rejected!	
MIR1277_5P	901		Rejected!	
MIR1278	65	62		
MIR1279	186	173		
MIR127_3P	6		Rejected!	
MIR127_5P	88	83		
MIR1281	13		Rejected!	
MIR1282	20		Rejected!	
MIR1283	478	457		
MIR1284	234	223		
MIR1285_3P	158	152		
MIR1285_5P	69	65		
MIR1286	87	84		
MIR1287_3P	36	35		
MIR1287_5P	67	60		
MIR1288_3P	46	43		
MIR1288_5P	54	52		
MIR1289	59	53		
MIR128_1_5P	14		Rejected!	
MIR128_2_5P	13		Rejected!	
MIR128_3P	450	431		
MIR1290	265	247		
MIR1291	112	107		
MIR1292_5P	17	15		
MIR1293	64	58		
MIR1294	161	153		
MIR1295B_3P	21	21		
MIR1295B_5P	74	69		
MIR1296_3P	38	35		
MIR1296_5P	33	32		
MIR1297	626		Rejected!	
MIR1298_3P	42	39		
MIR1298_5P	43	42		
MIR1299	335	320		
MIR129_1_3P_MIR129_2_3P	132	124		
MIR129_5P	372	356		
MIR1301_3P_MIR5047	117	114		
MIR1301_5P	52	44		
MIR1302	74	73		
MIR1303	210	204		
MIR1304_3P	112	108		
MIR1304_5P	131	123		
MIR1305	514	492		
MIR1306_5P	51	49		
MIR130A_3P	401	391		
MIR130A_5P	340	312		
MIR130B_3P	404	394		
MIR130B_5P	197	191		
MIR1321	142	134		
MIR1322	72	59		
MIR1323	321	311		
MIR1324	127	119		
MIR132_3P	190	183		
MIR132_5P	8		Rejected!	
MIR133A_3P_MIR133B	243	228		
MIR133A_5P	134	126		
MIR1343_3P	163	156		
MIR1343_5P	124	117		
MIR134_3P	86	82		
MIR134_5P	73	69		
MIR135A_2_3P	51	51		
MIR135A_3P	36	34		
MIR135A_5P	303	295		
MIR135B_3P	50	50		
MIR135B_5P	302	294		
MIR136_3P	9		Rejected!	
MIR136_5P	114	108		
MIR137_3P	531		Rejected!	
MIR138_1_3P	82	77		
MIR138_2_3P	170	160		
MIR138_5P	210	204		
MIR139_3P	16		Rejected!	
MIR139_5P	163	160		
MIR140_3P	144	142		
MIR140_5P	88	85		
MIR141_3P	398	384		
MIR141_5P	98	90		
MIR142_3P	175	171		
MIR142_5P	354	336		
MIR143_3P_MIR4770	204	199		
MIR143_5P	130	128		
MIR144_3P	495	474		
MIR144_5P	52	48		
MIR145_3P	71	69		
MIR145_5P	306	296		
MIR1468_3P	644		Rejected!	
MIR1468_5P	14		Rejected!	
MIR146A_3P	214	202		
MIR146A_5P	116	112		
MIR146B_3P	71	67		
MIR146B_5P	115	111		
MIR1470	14		Rejected!	
MIR147A	63	59		
MIR147B_3P	6		Rejected!	
MIR147B_5P	324	305		
MIR148A_3P	340	331		
MIR148A_5P	116	113		
MIR148B_3P	338	330		
MIR148B_5P	81	76		
MIR149_3P	435	414		
MIR149_5P	152	146		
MIR150_3P	128	122		
MIR150_5P	175	167		
MIR151A_3P	34	30		
MIR151A_5P_MIR151B	11		Rejected!	
MIR152_3P	339	331		
MIR152_5P	92	89		
MIR1537_3P	9		Rejected!	
MIR1537_5P	121	117		
MIR1539	5		Rejected!	
MIR153_3P	329	316		
MIR153_5P	1071		Rejected!	
MIR154_3P	101	99		
MIR154_5P	67	64		
MIR155_3P	93	88		
MIR155_5P	233	215		
MIR1587	61	55		
MIR15A_3P	38	38		
MIR15A_5P	582		Rejected!	
MIR15B_3P	79	75		
MIR15B_5P	579		Rejected!	
MIR16_1_3P	188	180		
MIR16_2_3P	233	223		
MIR16_5P	579		Rejected!	
MIR17_3P	136	129		
MIR17_5P	625		Rejected!	
MIR181A_2_3P	115	107		
MIR181A_3P	7		Rejected!	
MIR181A_5P_MIR181B_5P	600		Rejected!	
MIR181B_2_3P_MIR181B_3P	215	206		
MIR181C_3P	12		Rejected!	
MIR181C_5P	601		Rejected!	
MIR181D_5P	599		Rejected!	
MIR1825	162	158		
MIR1827	390	370		
MIR182_3P	67	65		
MIR182_5P	569		Rejected!	
MIR183_3P	200	193		
MIR183_5P	231	225		
MIR184	9		Rejected!	
MIR1843	65	56		
MIR185_3P	152	143		
MIR185_5P	294	266		
MIR186_3P	146	145		
MIR186_5P	567		Rejected!	
MIR187_5P	168	160		
MIR188_3P	153	147		
MIR188_5P	72	70		
MIR18A_3P	87	85		
MIR18A_5P_MIR18B_5P	125	119		
MIR18B_3P	52	49		
MIR1908_5P	16		Rejected!	
MIR1909_3P	138	133		
MIR1909_5P	35	33		
MIR190A_5P	112	106		
MIR190B_3P	138	133		
MIR190B_5P	110	104		
MIR1910_3P	186	184		
MIR1910_5P	81	78		
MIR1911_3P	46	42		
MIR1911_5P	27	25		
MIR1912_3P	86	81		
MIR1912_5P	85	79		
MIR1913	144	142		
MIR1914_3P	29	26		
MIR1914_5P	66	57		
MIR1915_3P	173	163		
MIR1915_5P	46	42		
MIR191_5P	20	18		
MIR192_3P	101	96		
MIR192_5P	36	35		
MIR193A_3P_MIR193B_3P	84	81		
MIR193A_5P	44	41		
MIR193B_5P	61	56		
MIR194_3P	88	72		
MIR194_5P	197	189		
MIR195_3P	234	224		
MIR195_5P	581		Rejected!	
MIR196A_1_3P	404	387		
MIR196A_3P	125	121		
MIR196A_5P_MIR196B_5P	94	90		
MIR196B_3P	6		Rejected!	
MIR1972	100	98		
MIR1973	6		Rejected!	
MIR1976	85	83		
MIR197_3P	100	95		
MIR197_5P	65	60		
MIR198	93	84		
MIR199A_3P_MIR199B_3P	155	152		
MIR199A_5P	181	177		
MIR199B_5P	180	176		
MIR19A_3P	649		Rejected!	
MIR19A_5P	176	167		
MIR19B_1_5P_MIR19B_2_5P	175	166		
MIR19B_3P	651		Rejected!	
MIR1_3P	374	349		
MIR1_5P	86	86		
MIR200A_3P	395	382		
MIR200A_5P	106	102		
MIR200B_3P	502	485		
MIR200B_5P	106	102		
MIR200C_3P	501	484		
MIR200C_5P	63	60		
MIR202_3P	247	242		
MIR202_5P	114	108		
MIR203A_3P	372	342		
MIR203A_5P	60	58		
MIR203B_3P	94	88		
MIR203B_5P	72	67		
MIR204_3P	144	135		
MIR204_5P	378	358		
MIR2052	242	231		
MIR2053	177	169		
MIR2054	166	161		
MIR205_3P	412	396		
MIR205_5P	224	215		
MIR206	378	353		
MIR208A_3P	44	43		
MIR208A_5P	255	244		
MIR208B_3P	45	44		
MIR208B_5P	259	248		
MIR20A_3P	188	176		
MIR20A_5P	671		Rejected!	
MIR20B_3P	72	65		
MIR20B_5P	616		Rejected!	
MIR210_3P	12		Rejected!	
MIR210_5P	55	50		
MIR2110	173	168		
MIR2113	262	250		
MIR2114_3P	42	40		
MIR2114_5P	35	33		
MIR2115_3P	236	224		
MIR2115_5P	135	125		
MIR2116_3P	73	69		
MIR2116_5P	143	134		
MIR2117	128	121		
MIR211_3P	82	80		
MIR211_5P	377	357		
MIR212_3P	187	180		
MIR212_5P	96	92		
MIR214_3P	240	232		
MIR214_5P	54	52		
MIR215_3P	139	132		
MIR215_5P	38	37		
MIR216A_3P	451	432		
MIR216A_5P	135	133		
MIR216B_3P	130	119		
MIR216B_5P	92	86		
MIR217_3P	94	90		
MIR217_5P	187	184		
MIR218_1_3P	90	88		
MIR218_2_3P	48	45		
MIR218_5P	432	408		
MIR219A_1_3P	62	57		
MIR219A_2_3P	67	64		
MIR219A_5P	151	145		
MIR219B_3P	59	56		
MIR219B_5P	51	48		
MIR21_3P	139	130		
MIR21_5P	149	143		
MIR221_3P	178	167		
MIR221_5P	78	72		
MIR222_3P	175	164		
MIR222_5P	186	180		
MIR223_3P	121	120		
MIR223_5P	160	152		
MIR224_3P	183	178		
MIR224_5P	180	171		
MIR2276_3P	124	118		
MIR2276_5P	72	68		
MIR2277_3P	17	16		
MIR2278	103	95		
MIR22_3P	138	133		
MIR22_5P	144	136		
MIR2355_3P	111	105		
MIR2355_5P	133	130		
MIR2392	73	63		
MIR23A_3P_MIR23B_3P	592		Rejected!	
MIR23A_5P	37	33		
MIR23B_5P	51	45		
MIR23C	594		Rejected!	
MIR2467_3P	158	149		
MIR2467_5P	114	104		
MIR24_1_5P_MIR24_2_5P	47	44		
MIR24_3P	282	269		
MIR25_3P	420	402		
MIR25_5P	6		Rejected!	
MIR2681_3P	37	37		
MIR2681_5P	161	153		
MIR2682_3P	68	67		
MIR2682_5P	118	109		
MIR26A_1_3P	80	72		
MIR26A_2_3P	80	71		
MIR26A_5P	492	478		
MIR26B_3P	104	103		
MIR26B_5P	492	478		
MIR27A_3P_MIR27B_3P	623		Rejected!	
MIR27A_5P	37	33		
MIR27B_5P	44	44		
MIR2861	89	85		
MIR28_3P	49	44		
MIR28_5P	48	43		
MIR2909	49	46		
MIR296_3P	37	36		
MIR296_5P	54	51		
MIR297	150	141		
MIR298	185	177		
MIR299_3P	57	53		
MIR299_5P	148	141		
MIR29A_3P	434	417		
MIR29A_5P	211	202		
MIR29B_1_5P	167	159		
MIR29B_2_5P	218	203		
MIR29B_3P_MIR29C_3P	434	417		
MIR300	449	433		
MIR301A_3P	397	387		
MIR301A_5P	82	79		
MIR301B_3P	396	386		
MIR301B_5P	86	83		
MIR302A_3P_MIR302B_3P_MIR302C_3P_MIR302D_3P	353	342		
MIR302A_5P	192	189		
MIR302B_5P	203	196		
MIR302C_5P	579		Rejected!	
MIR302D_5P	198	191		
MIR302E	477	461		
MIR302F	191	178		
MIR3059_3P	52	48		
MIR3059_5P	307	290		
MIR3064_3P	166	156		
MIR3064_5P	148	142		
MIR3065_3P	251	246		
MIR3065_5P	466	447		
MIR3074_3P	93	88		
MIR3074_5P	152	142		
MIR3085_3P	146	139		
MIR3085_5P	37	35		
MIR30A_3P	388	368		
MIR30A_5P	780		Rejected!	
MIR30B_3P	178	165		
MIR30B_5P_MIR30C_5P	785		Rejected!	
MIR30C_1_3P	140	132		
MIR30C_2_3P	138	130		
MIR30D_3P	391	371		
MIR30D_5P	781		Rejected!	
MIR30E_3P	389	369		
MIR30E_5P	781		Rejected!	
MIR3115	39	35		
MIR3116	104	93		
MIR3117_3P	35	35		
MIR3117_5P	59	56		
MIR3118	75	71		
MIR3119	373	356		
MIR3120_3P	346	337		
MIR3120_5P	83	81		
MIR3121_3P	646		Rejected!	
MIR3121_5P	104	101		
MIR3122	66	62		
MIR3123	261	248		
MIR3124_3P	219	214		
MIR3125	238	230		
MIR3126_3P	44	42		
MIR3126_5P	67	65		
MIR3127_3P	102	99		
MIR3127_5P	59	58		
MIR3128	133	125		
MIR3129_3P	107	99		
MIR3129_5P	154	151		
MIR3130_3P	50	48		
MIR3130_5P	61	59		
MIR3132	71	66		
MIR3133	515	498		
MIR3134	72	61		
MIR3135A	37	33		
MIR3135B	105	98		
MIR3136_3P	63	63		
MIR3136_5P	77	73		
MIR3137	54	49		
MIR3138	72	70		
MIR3139	60	55		
MIR3140_3P	236	227		
MIR3140_5P	139	123		
MIR3142	57	56		
MIR3143	466	445		
MIR3144_3P	62	60		
MIR3144_5P	52	49		
MIR3145_3P	232	215		
MIR3145_5P	100	94		
MIR3146	50	47		
MIR3147	36	33		
MIR3149	152	144		
MIR3150A_3P	101	96		
MIR3150B_3P	151	144		
MIR3151_3P	42	38		
MIR3151_5P	52	44		
MIR3152_3P	83	80		
MIR3152_5P	66	64		
MIR3153	223	215		
MIR3154	116	111		
MIR3155A_MIR3155B	77	76		
MIR3156_3P	89	85		
MIR3156_5P	70	69		
MIR3157_3P	38	35		
MIR3157_5P	109	101		
MIR3158_3P	39	37		
MIR3158_5P	170	157		
MIR3159	97	93		
MIR3160_3P	70	66		
MIR3160_5P	209	198		
MIR3161	75	70		
MIR3162_3P	20	20		
MIR3162_5P	76	72		
MIR3164	108	100		
MIR3165	36	35		
MIR3166	118	116		
MIR3167	110	102		
MIR3168	133	132		
MIR3169	62	58		
MIR3170	50	48		
MIR3171	77	72		
MIR3173_3P	105	99		
MIR3173_5P	105	96		
MIR3174	42	41		
MIR3175	175	170		
MIR3176	73	71		
MIR3177_3P	8		Rejected!	
MIR3177_5P	158	149		
MIR3179	131	123		
MIR3180_5P	307	292		
MIR3180_MIR3180_3P	20	17		
MIR3182	260	252		
MIR3183	82	74		
MIR3184_3P	76	69		
MIR3184_5P	134	131		
MIR3185	211	193		
MIR3186_5P	5		Rejected!	
MIR3187_3P	78	76		
MIR3187_5P	114	109		
MIR3188	86	77		
MIR3189_3P	74	71		
MIR3189_5P	54	52		
MIR3190_3P	124	122		
MIR3190_5P	122	117		
MIR3191_3P	22	21		
MIR3191_5P	162	158		
MIR3192_3P	83	73		
MIR3192_5P	160	154		
MIR3193	7		Rejected!	
MIR3194_3P	95	91		
MIR3194_5P	77	74		
MIR3196	19		Rejected!	
MIR3197	5		Rejected!	
MIR3198	51	45		
MIR3199	45	44		
MIR31_3P	60	55		
MIR31_5P	150	145		
MIR3200_3P	28	27		
MIR3200_5P	72	69		
MIR3201	85	81		
MIR3202	250	238		
MIR320A_3P_MIR320B_MIR320C_MIR320D	310	288		
MIR320A_5P	111	106		
MIR320E	71	70		
MIR323A_3P	218	208		
MIR323A_5P	45	44		
MIR323B_3P	63	59		
MIR323B_5P	41	40		
MIR324_3P	77	75		
MIR324_5P	44	41		
MIR325	30	28		
MIR326	130	122		
MIR328_3P	42	42		
MIR328_5P	58	54		
MIR329_3P	115	104		
MIR329_5P	148	141		
MIR32_3P	341	323		
MIR32_5P	477	458		
MIR330_3P	341	322		
MIR330_5P	184	175		
MIR331_3P	63	59		
MIR331_5P	78	75		
MIR335_3P	883		Rejected!	
MIR335_5P	110	102		
MIR337_3P	120	116		
MIR338_3P	141	131		
MIR338_5P	478	463		
MIR339_3P	6		Rejected!	
MIR339_5P	72	68		
MIR33A_3P	431	410		
MIR33A_5P_MIR33B_5P	111	105		
MIR33B_3P	66	63		
MIR340_3P	50	50		
MIR340_5P	791		Rejected!	
MIR342_3P	123	119		
MIR342_5P	62	59		
MIR345_3P	215	206		
MIR345_5P	46	42		
MIR346	73	69		
MIR34A_3P	72	69		
MIR34A_5P	309	298		
MIR34B_3P	111	107		
MIR34B_5P	138	128		
MIR34C_3P	65	62		
MIR34C_5P	258	249		
MIR3529_3P	547		Rejected!	
MIR3529_5P	34	34		
MIR3605_5P	90	76		
MIR3606_3P	363	344		
MIR3606_5P	152	142		
MIR3609	352	332		
MIR3611	152	148		
MIR3612	118	111		
MIR3613_5P	77	70		
MIR3614_3P	63	59		
MIR3614_5P	68	64		
MIR3615	9		Rejected!	
MIR3616_3P	63	60		
MIR3616_5P	89	81		
MIR3617_3P	94	87		
MIR3617_5P	260	251		
MIR3618	100	97		
MIR3619_3P	49	38		
MIR3619_5P	275	264		
MIR361_3P	102	100		
MIR361_5P	162	150		
MIR3620_3P	68	65		
MIR3620_5P	52	48		
MIR3622A_3P_MIR3622B_3P	99	97		
MIR3622A_5P	44	41		
MIR3622B_5P	57	56		
MIR362_3P	116	104		
MIR362_5P	56	52		
MIR363_3P	425	407		
MIR363_5P	71	68		
MIR3646	865		Rejected!	
MIR3649	21	21		
MIR3650	60	51		
MIR3651	20	19		
MIR3652	152	148		
MIR3654	46	44		
MIR3657	55	50		
MIR3658	819		Rejected!	
MIR3659	77	73		
MIR365A_3P_MIR365B_3P	114	110		
MIR365A_5P	30	29		
MIR365B_5P	31	30		
MIR3660	103	96		
MIR3661	71	68		
MIR3662	966		Rejected!	
MIR3663_3P	144	141		
MIR3663_5P	53	53		
MIR3664_3P	155	146		
MIR3664_5P	74	69		
MIR3665	80	75		
MIR3666	398	388		
MIR3667_3P	152	142		
MIR3667_5P	57	54		
MIR3668	107	99		
MIR3670	55	53		
MIR3671	641		Rejected!	
MIR3672	49	48		
MIR3674	128	122		
MIR3675_3P	90	86		
MIR3675_5P	36	36		
MIR3677_3P	5		Rejected!	
MIR3677_5P	27	26		
MIR3678_3P	127	119		
MIR3678_5P	14		Rejected!	
MIR3679_3P	165	160		
MIR3679_5P	75	75		
MIR367_3P	426	408		
MIR367_5P	71	69		
MIR3680_3P	536	498		
MIR3680_5P	34	30		
MIR3681_3P	390	372		
MIR3681_5P	36	33		
MIR3682_3P	85	80		
MIR3682_5P	103	100		
MIR3683	5		Rejected!	
MIR3684	30	28		
MIR3685	185	176		
MIR3686	331	316		
MIR3688_3P	416	391		
MIR3688_5P	138	134		
MIR3689A_3P_MIR3689B_3P_MIR3689C	177	165		
MIR3689A_5P_MIR3689B_5P_MIR3689E_MIR3689F	127	123		
MIR3689D	101	97		
MIR3690	54	48		
MIR3691_3P	69	66		
MIR3691_5P	45	41		
MIR3692_3P	299	291		
MIR3692_5P	141	133		
MIR369_3P	301	285		
